name,python_loc,age_days,velocity_sprint,active_contributors,experience_factor,avg_lead_time_days,integration_complexity,churn_rate,commit_size_avg,success_rate,issue_density
public-apis,1011,3665,0.31,100,14.62,0,0,0.0,0.0,0.0,0.2597
free-programming-books,675,4557,4.67,100,55.93,1.0,1.17,0.0,0.0,0.33,0.0075
system-design-primer,1431,3323,1.09,3,60.67,34.5,1.0,0.0,0.0,0.5,1.5248
awesome-python,1711,4297,4.67,54,22.81,1.12,1.0,0.075395,4.3,0.44,0.0075
Python,89251,3548,4.67,100,30.96,0,0,0.012,35.7,0.0,0.25
AutoGPT,243948,1114,4.67,100,80.1,1.0,3.38,0.04253,345.83,1.0,0.0466
transformers,1615985,2713,4.67,100,200.58,1.0,4.0,0.004089,220.23,1.0,0.1041
yt-dlp,261439,1985,4.67,100,210.09,1.0,1.0,0.004445,38.73,0.12,0.1024
langflow,300325,1149,4.67,100,241.02,1.0,8.57,0.012763,127.77,0.88,0.0551
langchain,285658,1264,4.67,99,120.48,1.0,4.6,0.002468,23.5,0.28,0.0336
open-webui,74534,909,4.67,100,145.73,1.0,1.0,0.062897,156.27,0.22,0.0166
skills,12434,193,1.24,2,8.5,0,0,0.127232,197.75,0.0,25.8
ComfyUI,177805,1172,4.67,77,59.7,1.0,6.73,0.020298,120.3,0.85,0.7826
awesome-llm-apps,65430,704,4.67,21,32.76,0,0,0.086398,188.43,0.0,0.0145
pytorch,2213542,3520,4.67,100,566.33,0,0,0.000842,62.1,0.0,0.1787
whisper,3983,1294,0.16,3,41.33,1.0,2.0,0.0,0.0,0.11,0.7066
fastapi,94683,2673,4.67,100,49.59,1.0,1.88,0.001447,4.57,0.53,0.0235
markitdown,9406,506,1.4,12,13.42,1.0,3.0,0.303423,317.11,0.5,1.6328
Deep-Live-Cam,5620,922,4.67,15,27.07,2.0,3.0,0.198577,37.2,0.5,0.205
django,462714,5088,4.67,100,279.09,1.22,7.67,0.001381,21.3,0.64,0.0121
core,2570316,4581,4.67,100,884.27,1.0,7.93,0.000733,62.77,1.0,0.0329
browser-use,76363,519,4.67,100,60.97,1.0,2.33,0.027278,69.43,1.0,0.025
spec-kit,22705,224,4.67,35,16.26,1.0,3.83,0.160053,121.13,0.8,0.8629
sherlock,2014,2657,1.71,95,18.92,0,0,0.0,0.0,0,0.0796
models,597970,3710,4.67,100,63.56,9.0,5.67,0.004788,95.43,0.33,0.1317
ragflow,193517,843,4.67,100,55.91,1.0,5.25,0.034323,221.4,0.73,0.5646
PayloadsAllTheThings,2024,3454,3.73,65,17.75,2.0,1.67,0.106225,8.96,0.46,0.0092
vllm,763733,1149,4.67,100,125.95,1.0,2.0,0.004771,121.47,0.5,0.2625
PaddleOCR,92046,2156,4.67,96,50.52,2.38,7.0,0.017882,54.87,0.89,0.0379
cpython,987655,3339,4.67,100,1134.14,1.0,2.0,0.000423,13.93,0.82,0.0712
flask,14180,5841,4.67,100,29.04,1.0,3.0,0.102045,48.23,0.1,0.0005
gpt_academic,67752,1110,0.47,29,59.93,12.25,41.0,0.004,90.33,0.67,0.129
LlamaFactory,45051,1041,4.67,57,43.74,1.33,1.5,0.061552,92.43,0.5,0.3153
ansible,240411,5141,4.67,100,381.57,1.0,15.33,0.025673,205.73,0.38,0.0144
MetaGPT,80372,1008,0.16,60,55.05,0,0,0.000635,51.0,0.0,0.0166
annotated_deep_learning_paper_implementations,34706,2047,0.16,4,191.25,63.23,2.85,0.000144,5.0,0.68,0.0337
gpt4free,55553,1101,4.67,56,54.09,1.33,4.17,0.051464,95.3,0.67,0.0012
scikit-learn,325657,5708,4.67,100,283.46,1.22,3.89,0.002687,29.17,0.69,0.0635
OpenBB,201271,1930,4.67,99,79.77,2.2,16.6,0.071212,477.77,0.42,0.0108
autoresearch,1031,27,4.67,2,12.0,0,0,0.079534,2.73,0.0,4.6667
keras,269537,4024,4.67,99,95.92,1.0,1.0,0.005287,47.5,0.82,0.0235
crawl4ai,104669,694,4.67,20,60.55,1.0,3.0,0.049757,173.6,0.4,0.0368
pathway,106847,1223,4.67,25,95.12,2.5,7.5,0.048003,170.97,0.25,0.0158
open-interpreter,18918,994,0.31,38,61.45,1.0,1.0,0.000211,2.0,0.14,0.0999
scrapy,67421,5884,4.67,100,97.09,1.11,18.33,0.130746,293.83,0.6,0.0587
openpilot,63015,3417,4.67,100,180.6,1.5,3.17,0.010236,21.5,0.5,0.0141
Real-Time-Voice-Cloning,6315,2504,0.16,2,121.0,2.33,4.33,0.000317,2.0,0.21,0.5611
unsloth,113307,856,4.67,78,67.85,1.0,3.06,0.020678,78.1,1.0,0.2146
MinerU,49682,764,4.67,21,145.19,1.0,2.26,0.025422,42.1,1.0,0.0306
hackingtool,4649,2183,0.16,6,39.17,35.33,36.67,0.0,0.0,0.15,0.1493
