language,repo_name,total_prs_analyzed,total_story_points_project,avg_pre_coding_desc_length,total_post_coding_churn,avg_ai_generation_ratio,total_ai_mentions
typescript,dify,50,127,1881.24,9565,18.17,14
typescript,Stirling-PDF,50,121,5769.92,17463,5.33,3
typescript,lobehub,50,166,1553.92,19193,24.58,36
typescript,superset,32,105,4398.22,26082,29.77,53
typescript,ant-design-pro,50,132,3132.28,32196,5.76,141
typescript,Trilium,40,114,479.4,20120,6.86,19
typescript,dokploy,37,109,1603.43,229502,249.9,7
typescript,continue,1,3,1464.0,76,76.0,1
typescript,langfuse,50,137,5453.1,13923,32.08,56
typescript,Roo-Code,12,53,1579.25,58702,5.09,2
typescript,vueuse,12,25,2045.58,7406,12.79,10
typescript,appium,1,2,1143.0,36,36.0,0
typescript,plate,10,41,3057.0,3410,8.98,0
typescript,metamask-extension,50,163,4082.84,38037,16.86,16
typescript,ant-design-mobile,3,6,457.0,293,4.63,0
typescript,t3code,50,172,3699.92,17211,6.84,5
typescript,misskey,43,108,1130.72,56502,6.88,10
typescript,cc-haha,15,66,805.87,6732,93.76,10
typescript,assistant-ui,50,187,1961.14,12483,29.27,25
typescript,valibot,17,46,1528.65,4050,126.61,5
javascript,desktop,50,119,792.08,11587,12.52,1
python,langflow,1,5,9883.0,2765,46.69,2
python,ragflow,50,164,991.7,10097,6.93,15
python,keras,50,123,2001.62,6442,26.48,0
python,MinerU,50,169,1589.48,7224,4.19,0
python,llama_index,35,71,9985.4,26917,9.35,26
python,BettaFish,2,3,1086.0,18,1.19,0
python,AstrBot,50,117,2352.68,4218,17.48,3
python,Scrapegraph-ai,3,18,867.33,2305,9.07,10
python,LangBot,15,76,2150.93,10453,23.83,24
python,chainlit,3,8,988.0,116,5.44,1
python,keep,11,15,1397.36,354,16.51,0
python,espnet,12,39,2517.5,7046,57.62,7
python,phoenix,50,145,1362.06,21141,14.61,35
python,countries-states-cities-database,50,78,1634.5,1987369,36969.26,51
